,Year,Fluid Milk,Fluid Cream,Sour Cream,Yoghurt,Butter,American Cheese,Other Cheeses,Total,Cottage Cheese,Ice cream,Lowfat and non fat icecream,Sherbet,Frozen Yoghurt,Other Frozen Prodcuts,Total,Whole Milk/Evaporated_Condensed,Skim Milk/Evaporated_Condensed,Total/Evaporated_Condensed,Whole Milk/Dry,Nonfat Milk/Dry,Buttermilk/Dry,Total/Dry,Dried Whey,All Dairy
74,1978,246.42157635246178,3.3544204056822533,1.6839640694297486,2.453904860532655,4.354592627535547,9.525358851674643,7.3096030729833545,16.834961924657996,4.598998135543725,17.22532964934744,6.550306624435609,1.2947862614282184,,1.6033407462317761,26.673763281443044,4.049176719006223,3.4683379383156994,7.517514657321922,0.2515892804995844,3.1091218896831667,0.22014062043713636,3.580851790619888,2.4395174877013277,544.2684817036188
75,1979,242.9742571259357,3.393196685176362,1.7589405389037571,2.4491577123976365,4.491231032414299,9.597205127635466,7.567656795005665,17.16486192264113,4.434995889893582,16.943413832174357,6.197151807335985,1.202817089155984,,1.5002146142054116,25.84359734287174,4.057848081580058,3.3325187176467974,7.390366799226856,0.2932616471529182,3.2916460897992845,0.1821776898980249,3.7670854268502274,2.6526848992468506,548.2037724111883
76,1980,237.84354714490044,3.366707008471779,1.7955770711849488,2.5085267906260316,4.467509199652214,9.620139992798363,7.903713234325461,17.523853227123823,4.410484529654058,17.11750085629221,6.052009871512256,1.1904657351378412,,1.4219351325716048,25.78191159551391,3.7625655392884427,3.280257853736508,7.042823393024951,0.27664825272476573,3.0163824134168844,0.18004092637643485,3.473071592518085,2.6523102324723573,543.1439536987433
77,1981,233.95622880949682,3.442775836071575,1.8477682968282882,2.440448693924154,4.238243914317769,10.150470069488533,8.031361157736361,18.181831227224894,4.268691893584268,16.99642555856083,5.941313063670282,1.193219867284729,,1.749643860396752,25.880602349912593,4.043593400763592,3.1569884243757773,7.200581825139369,0.3609229190402059,2.156927973726067,0.18698416287625128,2.704835055642524,2.735186940678187,540.5320786551055
78,1982,227.58391463498862,3.466226949374957,1.946784998964017,2.589957870018648,4.3513273726463035,11.306777266697676,8.597416748496908,19.904194015194584,4.162321050183472,17.228711216772616,5.672558444019502,1.177924785087946,,1.7684514272916765,25.84764587317174,3.9857744586283532,3.0191052078488125,7.004879666477166,0.379003221527383,2.133092268573924,0.17227419160335591,2.684369681704663,2.8812858545661277,554.4946336589315
79,1983,226.96670544757734,3.6870380509170544,2.0702162606077197,3.165206679441555,4.906797492179064,11.607489319567918,8.956855749081335,20.564345068649253,4.090560674670411,17.665285288104926,5.909767954009056,1.2223279714221085,,1.7625636451322428,26.55994485866833,3.8207864041620616,3.2478756503220136,7.068662054484076,0.40118306324608316,2.261767392378987,0.18351991191044228,2.8464703675355123,3.068623643339721,572.8510031710533
80,1984,227.74939043782467,4.032651330435705,2.2177462101134315,3.5619633202586667,4.97629766276846,11.853110667321067,9.621486113696752,21.47459678101782,4.08462098261885,17.76956014013235,5.956047861627769,1.2054258974055205,,1.8426125882173672,26.773646487383008,3.727541591212957,3.69370589131281,7.421247482525766,0.4146428148323658,2.535526316870982,0.18193511263052786,3.1321042443338754,3.2240594377781915,581.8750317328685
81,1985,230.19535650039506,4.379549772196163,2.2864444108202617,3.9508414451673644,4.872090780237015,12.187188110674057,10.357803628190181,22.54499173886424,4.025609520854126,17.747603431935786,5.932501908028818,1.2127515033589693,,2.72449238046514,27.617349223788715,3.6769057224090647,3.820251104979326,7.497156827388391,0.4403143425058499,2.286984670523206,0.2012865565741028,2.928585569603159,3.522514740046799,593.6779247356017
82,1986,229.11053457875425,4.672410705733905,2.3528627885380184,4.164358917766404,4.832487710418822,12.121952537076512,10.996189502640753,23.118142039717263,4.031954988759656,18.011975848843342,6.137103107820038,1.2387232963918704,,2.306868452655511,27.694670705710763,3.6474354978786705,4.280057012021558,7.927492509900229,0.46955965277518064,2.477618482932439,0.2701006852246614,3.2172788209322807,3.7190786657857227,591.4540143194916
83,1987,225.76757508595108,4.663851846348782,2.4309811836278166,4.432722905290789,4.435206998237261,12.40366303685277,11.692402102107048,24.096065138959815,3.8933996145038794,17.9309237080114,6.326502034562857,1.235564488229189,,2.3448938238249717,27.837884054628418,3.7465157081431935,4.237986194626118,7.984501902769312,0.5477669231149405,2.5420004971386416,0.2141645112930594,3.3039319315466416,3.649033788570205,601.2339170689115
84,1988,225.26881500537834,4.683045738428378,2.486717737086859,4.703495719818895,4.485595112255685,11.499328628974661,12.21287154978553,23.71220017876019,3.827986172613776,16.87814513857996,6.7896221140228805,1.277849653703152,,2.391224425661477,27.33684133196747,3.4983858526412024,4.252696707629142,7.751082560270344,0.583623444521082,2.614708613791529,0.216307989927394,3.4146400482400048,3.5670411923875913,582.517416874472
85,1989,225.06776220631315,4.813243713004266,2.5200653110173854,3.67855841624956,4.430606205173404,11.029566349427109,12.762696994444939,23.792263343872047,3.5301081094193463,15.75025672954856,7.1346556589661265,1.2755617727680701,1.9964260012452393,2.1917587793419635,28.34865894186996,3.072967793581357,4.714120529469318,7.787088323050675,0.5417599922374687,2.150726306222474,0.23045014595175908,2.9229364444117016,3.468881144326479,563.8306474436205
86,1990,221.9587137403204,4.610953317602945,2.5037756937461695,3.90307043273988,4.307093854444853,11.12700893928006,13.480358370780229,24.60736731006029,3.328118753298259,15.397470135768314,6.585722738394128,1.2029648345673483,2.8129147809956345,2.2408384373051042,28.239910927030525,3.148077814913725,4.753490157197,7.901567972110724,0.6786655485903443,2.8959622345543106,0.19149888858682615,3.766126671731481,3.73802632210193,567.9601170581933
87,1991,220.01257011396112,4.601136053695732,2.6049387108122746,4.111208908059539,4.376594225481571,11.0335393876754,13.90169353788862,24.935232925564023,3.231004406433314,15.85842607093687,6.283408220345335,1.1175851009692577,3.4707072779129993,2.4774301460000885,29.20755681616455,3.1547616699474936,4.986330983498558,8.141092653446051,0.4087579578134308,2.5913427701175307,0.23748190285333323,3.2375826307842948,3.574457677332313,563.7078735901978
