,Year,US Population,Total Fish,Per Cap Fish,Total Shellfish,Per Cap Shellfish,Total both,Per cap both,Total Salmon,Per Cap Salmon,Total Sardines,Per Cap Sardines,Total Tuna,Per Cap Tuna,Total Canned Shellfish,Per Cap Canned Shellfish,Other Total,Other Per cap,Total Canned,Per Cap Canned,Total Cured,Per Cap Cured,Total fish and Shellfish,Total Per cap fish and shellfilsh
95,1999,279.295,1602,5.735870674376555,1195,4.2786301222721494,2818,10.08969011260495,81,0.29001593297409545,54,0.19334395531606366,923,3.304749458457903,108,0.3866879106321273,81,0.29001593297409545,1248,4.468393633971249,81,0.29001593297409545,4147,14.848099679550293
96,2000,282.385,1589,5.6270694264922,1287,4.55760752164598,2876,10.184676948138181,95,0.33642013563043366,,0.2,990,3.505851939727677,109,0.3859978398286028,82,0.29038369601784797,1333,4.7205056925828215,82,0.29038369601784797,4291,15.19556633673885
97,2001,285.309019,1617,5.667539027218765,1304,4.57048292609355,2921,10.238021953312314,113,0.39606178730718644,,0.2,823,2.8845916013611896,85,0.29792258337266236,113,0.39606178730718644,1191,4.1744211387863634,85,0.29792258337266236,4197,14.710365675471339
98,2002,288.104818,1725,5.987404209255535,1438,4.991238987193889,3165,10.9855851143732,143,0.49634713154987914,,0.1,890,3.0891534760796673,86,0.29850247072230496,102,0.3540378141125012,1250,4.338698702359084,85,0.2950315117604177,4500,15.6193153284927
99,2003,290.819634,1650.25,5.67447932349712,1650.5,5.675338962843203,3301,11.350677925686407,110.618,0.3803663407402541,,0.1,982,3.37666335141595,86,0.2957159350527207,102,0.35073285320206404,1361,4.679876600078521,87,0.29915449243705466,4749,16.32970901820198
100,2004,293.463185,1608.277,5.480336485818485,1842.208,6.2774756567846834,3450,11.756159465113145,88,0.2998672559217266,,0.1,964.966,3.2882012099746003,116.9656,0.39856992624134435,116.9656,0.39856992624134435,1316,4.484378509011275,88,0.2998672559217266,4854,16.540405230046147
101,2005,296.186216,1801,6.080634083255245,1625,5.486413317762229,3426,11.567047401017474,118,0.39839801322827256,29,0.09791137613237208,915,3.0892727296938087,118,0.39839801322827256,90,0.30386289144529266,1270,4.287843023728018,88,0.29711038274650836,4784,16.152000807492
102,2006,298.995825,1938,6.48169585645552,1740,5.819479251926009,3678,12.301175108381528,56,0.18729358511945776,58,0.19398264173086696,858,2.8696052862945494,119,0.39799886837884774,72,0.2408060380107314,1163,3.889686419534453,97,0.32441924565334646,4938,16.515280773569327
103,2007,302.003917,1983,6.566140001422564,1653,5.473438942184316,3636,12.03957894360688,92,0.3046318104542995,59,0.1953617045304747,812,2.688706848792296,132,0.4370804236952993,91,0.3013205951232745,1186,3.9271013825956436,90,0.2980093797922495,4912,16.264689705994773
104,2008,304.797761,1880,6.168024311700899,1696,5.564345336513152,3576,11.73236964821405,27,0.08858332788081079,62,0.20341356772630625,848,2.782172668256576,136,0.4461975033996395,119,0.39042281547468455,1192,3.9107898827380168,93,0.3051203515894594,4861,15.948279882541527
105,2009,307.439406,1909,6.209353657156103,1702,5.536050248548815,3610,11.742151232233384,68,0.22118179606422997,67,0.21792912259269717,763,2.4817898587795213,124,0.4033315104700664,109,0.3545414083970745,1131,3.6787736963035895,107,0.3480360614540089,4848,15.768960989990982
106,2010,309.741279,1953,6.305262270192924,1610,5.197886459298826,3564,11.506377230398147,73,0.23568056616696542,61,0.196938555290204,834,2.6925697559349198,138,0.44553312508275655,117,0.377734606048424,1223,3.9484566085232697,106,0.3422210960780594,4893,15.797054934999476
107,2011,311.973914,1786,5.724837622160935,1602,5.135044720437748,3388,10.859882342598684,50,0.16026981025086606,64,0.20514535712110854,788,2.525852209553649,138,0.44234467629239027,121,0.3878529408070958,1161,3.72146499402511,108,0.34618279014187064,4657,14.927530126765665
108,2012,314.167558,1744,5.551177884509642,1545,4.917757930944608,3289,10.46893581545425,45,0.1432356678915905,67,0.21326199441636812,735,2.3395159088959785,124,0.39469384041238276,111,0.3533146474659233,1082,3.444022059082243,105,0.33421655841371123,4476,14.247174432950205
109,2013,316.294766,1742,5.507520791539118,1549,4.897330485702694,3291,10.404851277241812,128,0.4046857986894415,61,0.19285807593793697,726,2.295327264441676,119,0.37623132846909013,121,0.38255454407361267,1155,3.6516570116117575,89,0.2813830944012523,4535,14.337891383254822
110,2014,318.576955,1874,5.882409165471495,1586,4.9783889735527165,3460,10.860798139024212,16,0.05022334399548768,65,0.20403233498166873,728,2.2851621517946894,121,0.3798140389658756,134,0.42062050596220935,1064,3.3398523756999308,104,0.32645173597066995,4628,14.527102250694812
111,2015,320.870703,2073,6.46054619701444,1603,4.995781743277448,3676,11.456327940291889,101,0.3147685315477369,63,0.19634076720304378,704,2.194030160491156,157,0.48929365795044244,159,0.4955266981791105,1184,3.6899598153714894,111,0.34593373269107713,4971,15.492221488354454
112,2016,323.161011,1932,5.978443977575005,1712,5.297668783441206,3644,11.276112761016211,0,0,70,0.21661028904257268,671,2.0763643421080893,154,0.47654263589365986,179,0.5539034534088644,1074,3.3234207204531865,105,0.324915433563859,4823,14.924448915033256
113,2017,325.20603,2021,6.21452191400018,1893,5.820925276201059,3914,12.03544719020124,83,0.2552228198228674,82,0.25214784609006174,670,2.0602324009797726,158,0.4858458497832897,181,0.5565702456378192,1205,3.705343348030785,113,0.3474720318070363,5232,16.08826257003906
114,2018,326.923976,2048,6.264453360251559,1965,6.010571705514802,4013,12.27502506576636,33,0.10094089887124094,74,0.22635231868096453,688,2.104464800709508,163,0.49858686412158404,189,0.5781160571716527,1147,3.5084609395549506,111,0.3395284780214468,5271,16.123014483342757
