,Unnamed: ,Year,US Population,Beef,Veal,Pork,Lamb,Total,Chicken,Turkey,Total.,Total_Availability
91,96,2000,282.385,96.48583635816352,0.7982010375905235,65.5092373886715,1.252790537741027,164.04606532216656,90.10371228853748,17.28946261309914,107.39317490163664,271.43924022380315
92,97,2001,285.309019,94.347364111893,0.7140433229697517,64.48248066073228,1.2884514772384394,160.8323395728335,89.72239797859208,17.490100444388684,107.21249842298076,268.04483799581425
93,98,2002,288.104818,96.42981395750208,0.7091169159135686,66.0992035197412,1.3219804154750372,164.56011480863185,94.38272254512002,17.67733158839433,112.06005413351434,276.62016894214617
94,99,2003,290.819634,92.592311012949,0.7000902834503945,66.50687484188224,1.2622350215872975,161.06151115986893,95.67081994782608,17.405323809739752,113.07614375756584,274.1376549174348
95,100,2004,293.463185,94.19552234465117,0.6031420942971092,65.75452385961121,1.269380099585575,161.82256839814505,98.55213568302293,17.0265241277198,115.5786598107427,277.40122820888774
96,101,2005,296.186216,93.3835306447752,0.5533680878653718,63.80931299618615,1.1969443608808683,158.9431560897076,100.56927584693643,16.66522793214658,117.23450377908304,276.1776598687906
97,102,2006,298.995825,93.8299312806458,0.517398528892502,63.094454000152,1.1858524680068692,158.62763627769718,101.16812313629649,16.877431315303483,118.04555445159995,276.6731907292972
98,103,2007,302.003917,92.85439828795208,0.4784706153331117,64.76516538429108,1.2741345306042495,159.37216881818048,99.51415805413652,17.46812832375794,116.98228637789444,276.3544551960749
99,104,2008,304.797761,88.76164831893256,0.490836938923577,63.02888611205268,1.12298448446359,153.4043558543724,97.58321038768877,17.56234804228633,115.14555842997508,268.5499142843475
100,105,2009,307.439406,86.81698457006944,0.4782535912133527,63.86131192836451,1.0935860177263528,152.25013610737366,93.14674376352528,16.87498813490568,110.02173189843094,262.2718680058046
101,106,2010,309.741279,84.71531132999002,0.4768302128693669,60.842576341212656,1.019888845199565,147.05460672927163,96.38689088568404,16.357994538061714,112.74488542374576,259.7994921530173
102,107,2011,311.973914,81.34384095987245,0.440052818005803,58.10913049573751,0.9421657432353714,140.83519001685113,96.98190447357118,16.007296349824824,112.989200823396,253.82439084024716
103,108,2012,314.167558,81.52380646015791,0.3901102990398519,58.40835495607252,0.952128106048995,141.2743998213193,94.13074326590632,15.9468372141681,110.07758048007442,251.35198030139367
104,109,2013,316.294766,80.10494150133287,0.3748528674673043,59.66055145984871,1.0215500034900875,141.16189583213898,95.85325419720236,15.959275417011751,111.81252961421411,252.9744254463531
105,110,2014,318.576955,77.06524664272109,0.3064314554704686,58.43621632532968,1.0644450847315423,136.8723395082528,97.67233305096444,15.79147934150441,113.46381239246888,250.3361519007217
106,111,2015,320.870703,76.87002213343791,0.2742537700613945,63.51373422397658,1.11244135017353,141.77045147764943,104.01245528995362,15.941392200664264,119.95384749061787,261.7242989682673
107,112,2016,323.161011,79.13275698593131,0.2256119937686418,63.95999505358253,1.179080910293823,144.4974449435763,104.95042216355051,16.62285066827107,121.5732728318216,266.0707177753979
108,113,2017,325.20603,81.18867063084075,0.2403184221399584,64.07409005426516,1.215869788993609,146.71894889623948,106.43817868600163,16.423949885014466,122.8621285710161,269.5810774672556
109,114,2018,326.923976,81.58059977459807,0.2720357224579943,65.07555105744993,1.2683429978711962,148.1965295523772,108.284687354876,16.149223715265325,124.43391107014132,272.6304406225185
110,115,2019,328.475998,82.74897123621503,0.2474062046993156,66.94299574784588,1.2797113410653618,151.21908452982558,111.3280296892226,15.97749982536953,127.30552951459214,278.5246140444177
111,116,2020,330.11398,83.2623588748331,0.2002217537106426,66.34957587917451,1.3644501576145354,151.17660666533277,112.73675944872534,15.71490151065064,128.45166095937597,279.6282676247088
