,Unnamed: ,Year,"U.S. total population, July ",Butter,Margarine,Lard,Edible tallow,Shortening,Salad and cooking oils ,Other edible fats and oils,Total
74,79,1984,236.348,4.97629766276846,10.3921674818488,1.870237954203124,1.7691116489244672,20.067231370690678,22.52912231116828,1.7093438489007733,63.313512278504575
75,80,1985,238.466,4.872090780237015,10.791567770667516,1.5816594399201565,1.994548489092784,22.10875344912901,23.910603608061525,1.5725512232351782,66.8317747603432
76,81,1986,240.651,4.832487710418822,11.413682054094933,1.5334737856896503,1.8424648141915057,21.336445724306152,25.004695596527757,1.6787796435502034,67.64202932877902
77,82,1987,242.804,4.435206998237261,10.507425742574256,1.5600813825142912,0.9504167970873622,20.84557091316453,26.477866921467523,1.3014612609347458,66.07803001597996
78,83,1988,245.021,4.485595112255685,10.318201297031685,1.487896955771138,0.8572897833246951,20.680729406867165,27.56457201627616,1.2978479395643638,66.69213251109089
79,84,1989,247.342,4.430606205173404,10.158221301897226,1.1874503229843132,0.274801246906663,20.48127289340265,25.59654243921372,1.2654543102263265,63.39434871980431
80,85,1990,250.132,4.307093854444853,10.859587765528186,0.9003946916028338,0.6166688441754109,20.607295348056223,25.13926890533688,1.163385732333328,63.59369514147771
81,86,1991,253.493,4.376594225481571,10.53879672796642,0.6892931757484433,1.447252892154229,20.209623145412294,26.288750297040558,1.2663071564106307,64.81661762021415
82,87,1992,256.894,4.324157045318303,10.912833300057532,0.407504593334216,2.382100372137925,20.568343363410587,27.03811799218289,1.428604794195271,67.06166146063673
83,88,1993,260.255,4.654112312923864,11.023576947926998,0.3647927840003075,2.1885073639315284,24.05618335862904,26.539615054044724,1.7329157941249929,70.55970361558145
84,89,1994,263.436,4.730370943986396,9.843979456171391,0.68730717451126,2.426304943136094,23.632738122352304,25.982946328000345,1.6170910581697264,68.9207380263275
85,90,1995,266.557,4.610306858742898,9.082314604282738,0.3890891323199616,2.689198051448658,22.16255435047663,26.474718730857024,1.6270441218951293,67.03522585002302
86,91,1996,269.667,4.293474099445207,9.019323033148469,0.5560360348624341,2.908793011380703,21.88094946730597,25.67439614710853,1.3375756025023455,65.67054739575366
87,92,1997,272.912,4.187137874589212,8.435210667392624,0.7613368140459417,2.1416480144911927,20.466139268335585,28.037158672385917,1.089728557190596,65.11835986843107
88,93,1998,276.115,4.3377695094862405,8.17505718986696,0.7028462713725296,3.1448442234952614,20.43855639860203,27.2773903993686,1.3208264672328558,65.39729045942448
89,94,1999,279.295,4.6149737897887535,7.892959666560423,0.6641991635362826,3.5672423582426105,20.98484698432422,28.750565203736105,1.5442453319966345,68.01903249818503
90,95,2000,282.385,4.466170349365629,8.212756601117588,0.7827099578267332,3.98425688745692,31.546522274132656,33.71836976803084,1.5174318749225348,84.2282177128529
91,96,2001,285.309019,4.343024575706233,6.971396071119245,1.1407772662541105,3.044733730943732,32.45335749743797,35.55492383389989,1.4286264115611431,84.93683938692232
92,97,2002,288.104818,4.397573535462436,6.513863300370964,1.2853563970061963,3.379291752845313,32.79694407551675,39.67342807651213,1.3946313108863038,89.44108844860008
93,98,2003,290.819634,4.453272553650728,5.253299980886716,1.26716896717668,3.808658522365213,32.51438942595418,40.17182328792605,1.3259077273991755,88.79452046535874
